Name,Height,,
Ankylosaurus (armored lizard),7,,
Camptosaurus (bent lizard),10,,
Chasmosaurus (cleft lizard),6,,
Claosaurus (broken lizard),6,,
Corythosaurus (helmet lizard),16,,
Dravidosaurus (Dravidanadu lizard),4,,
Dryosaurus (oak lizard),6,,
Euoplocephalus (well-armored head),4,,
Hadrosaurus (bulky lizard),15,,
Hypsilophodon (high-crested tooth),3,,
Iguanodon (iguana tooth),18,,
Kentrosaurus (spiky lizard),5,,
Lambeosaurus (Lamb's lizard),18,,
Nodosaurus (node lizard),6,,
Ouranosaurus (brave monitor lizard),10,,
Pachycephalosaurus (thick-headedlizard),10,,
Protoceratops (first horned face),2,,
Shantungosaurus (Shanshan lizard),25,,
Styracosaurus (spiked lizard),7,,
Stegosaurus (plated lizard),11,,
Tenontosaurus (tendon lizard),10,,
Torosaurus (bull lizard),7,,
Triceratops (three-horned face),9.5,,
Acrocanthosaurus (top-spined lizard),19,,
Albertosaurus (Alberta lizard),15,,
Allosaurus (other lizard),17,,
Apatosaurus (deceptive lizard),15,,
Archaeopteryx (ancient wing),1,,
Argentinosaurus (Argentina lizard),70,,
Baryonyx (heavy claws),6,,
Brachiosaurus (arm lizard),50,,
Ceratosaurus (horned lizard),13,,
Coelophysis (hollow form),3,,
Compsognathus (elegant jaw),2,,
Deinonychus (terrible claw),5,,
Diplodocus (double beam),24,,
Dromiceiomimus (emu mimic),5,,
Gallimimus (fowlmimic),8,,
Mamenchisaurus (Mamenchi lizard),35,,
Megalosaurus (big lizard),12,,
Microvenator (small hunter),2.5,,
Ornithomimus (bird mimic),8,,
Oviraptor (egg robber),3,,
Plateosaurus (flat lizard),7,,
Saurornithoides (narrow-clawed lizard),3,,
Seismosaurus (tremor lizard),84,,
Spinosaurus (spiny lizard),8,,
Supersaurus (super lizard),66,,
Tyrannosaurus (tyrant lizard),23,,
Ultrasauros (ultra lizard),53,,
Velociraptor (swift robber),2,,
