Name,Height,Length,Weight
Ankylosaurus (armored lizard),7,35,10000
Camptosaurus (bent lizard),10,23,4000
Chasmosaurus (cleft lizard),6,17,3000
Claosaurus (broken lizard),6,12,2000
Corythosaurus (helmet lizard),16,30,8860
Dravidosaurus (Dravidanadu lizard),4,10,2000
Dryosaurus (oak lizard),6,13,2000
Euoplocephalus (well-armored head),4,17,7000
Hadrosaurus (bulky lizard),15,30,6000
Hypsilophodon (high-crested tooth),3,7.5,140
Iguanodon (iguana tooth),18,30,10000
Kentrosaurus (spiky lizard),5,17,4000
Lambeosaurus (Lamb's lizard),18,30,14000
Nodosaurus (node lizard),6,18,6000
Ouranosaurus (brave monitor lizard),10,23,8000
Pachycephalosaurus (thick-headedlizard),10,18,4000
Protoceratops (first horned face),2,6,900
Shantungosaurus (Shanshan lizard),25,51,14000
Styracosaurus (spiked lizard),7,17,6000
Stegosaurus (plated lizard),11,30,6000
Tenontosaurus (tendon lizard),10,23,4000
Torosaurus (bull lizard),7,21,12000
Triceratops (three-horned face),9.5,26,14000
Acrocanthosaurus (top-spined lizard),19,40,6000
Albertosaurus (Alberta lizard),15,30,6000
Allosaurus (other lizard),17,40,4000
Apatosaurus (deceptive lizard),15,75,66000
Archaeopteryx (ancient wing),1,3,2
Argentinosaurus (Argentina lizard),70,120,220000
Baryonyx (heavy claws),6,30,4000
Brachiosaurus (arm lizard),50,100,100000
Ceratosaurus (horned lizard),13,20,3000
Coelophysis (hollow form),3,9,100
Compsognathus (elegant jaw),2,3,8
Deinonychus (terrible claw),5,9,175
Diplodocus (double beam),24,89,50000
Dromiceiomimus (emu mimic),5,11,220
Gallimimus (fowlmimic),8,18,260
Mamenchisaurus (Mamenchi lizard),35,69,60000
Megalosaurus (big lizard),12,26,2000
Microvenator (small hunter),2.5,4,14
Ornithomimus (bird mimic),8,15,300
Oviraptor (egg robber),3,5,80
Plateosaurus (flat lizard),7,26,4000
Saurornithoides (narrow-clawed lizard),3,6.5,60
Seismosaurus (tremor lizard),84,150,200000
Spinosaurus (spiny lizard),8,40,14000
Supersaurus (super lizard),66,100,120000
Tyrannosaurus (tyrant lizard),23,50,14000
Ultrasauros (ultra lizard),53,100,140000
Velociraptor (swift robber),2,6,250
