Ankylosaurus (armored lizard),10000
Camptosaurus (bent lizard),4000
Chasmosaurus (cleft lizard),3000
Claosaurus (broken lizard),2000
Corythosaurus (helmet lizard),8860
Dravidosaurus (Dravidanadu lizard),2000
Dryosaurus (oak lizard),2000
Euoplocephalus (well-armored head),7000
Hadrosaurus (bulky lizard),6000
Hypsilophodon (high-crested tooth),140
Iguanodon (iguana tooth),10000
Kentrosaurus (spiky lizard),4000
Lambeosaurus (Lamb's lizard),14000
Nodosaurus (node lizard),6000
Ouranosaurus (brave monitor lizard),8000
Pachycephalosaurus (thick-headedlizard),4000
Protoceratops (first horned face),900
Shantungosaurus (Shanshan lizard),14000
Styracosaurus (spiked lizard),6000
Stegosaurus (plated lizard),6000
Tenontosaurus (tendon lizard),4000
Torosaurus (bull lizard),12000
Triceratops (three-horned face),14000
Acrocanthosaurus (top-spined lizard),6000
Albertosaurus (Alberta lizard),6000
Allosaurus (other lizard),4000
Apatosaurus (deceptive lizard),66000
Archaeopteryx (ancient wing),2
Argentinosaurus (Argentina lizard),220000
Baryonyx (heavy claws),4000
Brachiosaurus (arm lizard),100000
Ceratosaurus (horned lizard),3000
Coelophysis (hollow form),100
Compsognathus (elegant jaw),8
Deinonychus (terrible claw),175
Diplodocus (double beam),50000
Dromiceiomimus (emu mimic),220
Gallimimus (fowlmimic),260
Mamenchisaurus (Mamenchi lizard),60000
Megalosaurus (big lizard),2000
Microvenator (small hunter),14
Ornithomimus (bird mimic),300
Oviraptor (egg robber),80
Plateosaurus (flat lizard),4000
Saurornithoides (narrow-clawed lizard),60
Seismosaurus (tremor lizard),200000
Spinosaurus (spiny lizard),14000
Supersaurus (super lizard),120000
Tyrannosaurus (tyrant lizard),14000
Ultrasauros (ultra lizard),140000
Velociraptor (swift robber),250

